sp;lon;lat
Astrocaryum.vulgare;-45.1958;-3.4483
Astrocaryum.vulgare;-44.4419;-3.4961
Astrocaryum.vulgare;-45.4425;-3.6611
Astrocaryum.vulgare;-46.2597;-3.8856
Astrocaryum.vulgare;-45.7044;-3.9492
Astrocaryum.vulgare;-44.7161;-4.2875
Astrocaryum.vulgare;-44.4392;-4.7275
Astrocaryum.vulgare;-47.7367;-4.7342
Astrocaryum.vulgare;-46.0608;-4.8792
Astrocaryum.vulgare;-56.6858;-9.6633
Astrocaryum.vulgare;-54.0611;-10.6017
Astrocaryum.vulgare;-52.8017;-10.795
Astrocaryum.vulgare;-54.4956;-11.7903
Astrocaryum.vulgare;-52.6711;-12.1794
Astrocaryum.vulgare;-48.4108;-0.2581
Astrocaryum.vulgare;-47.9564;-0.5694
Astrocaryum.vulgare;-47.6731;-0.5858
Astrocaryum.vulgare;-47.5561;-0.6058
Astrocaryum.vulgare;-48.0119;-0.6731
Astrocaryum.vulgare;-47.0042;-0.7669
Astrocaryum.vulgare;-46.7228;-0.7853
Astrocaryum.vulgare;-46.6144;-0.8414
Astrocaryum.vulgare;-46.4411;-0.8956
Astrocaryum.vulgare;-48.4094;-1.0819
Astrocaryum.vulgare;-48.5947;-0.4689
Astrocaryum.vulgare;-47.1242;-0.7825
Astrocaryum.vulgare;-47.5536;-0.7853
Astrocaryum.vulgare;-48.5592;-0.8431
Astrocaryum.vulgare;-48.5031;-0.6753
Astrocaryum.vulgare;-47.8181;-0.8933
Astrocaryum.vulgare;-46.7256;-0.9564
Astrocaryum.vulgare;-54.7678;-2.4728
Astrocaryum.vulgare;-54.9822;-2.6956
Astrocaryum.vulgare;-47.2081;-2.9614
Astrocaryum.vulgare;-48.7047;-2.9717
Astrocaryum.vulgare;-47.4522;-4.2697
Astrocaryum.vulgare;-49.1375;-4.3372
Astrocaryum.vulgare;-49.8853;-4.5128
Astrocaryum.vulgare;-49.7728;-5.2514
Astrocaryum.vulgare;-49.4219;-5.5372
Astrocaryum.vulgare;-48.6511;-5.9206
Astrocaryum.vulgare;-50.2497;-8.0131
Astrocaryum.vulgare;-54.0889;-1.8608
Astrocaryum.vulgare;-52.1642;-1.2761
Astrocaryum.vulgare;-52.5561;-7.2189
Astrocaryum.vulgare;-51.0944;-7.7547
Astrocaryum.vulgare;-51.9617;-7.7717
Astrocaryum.vulgare;-56.7644;-9.3433
Astrocaryum.vulgare;-61.9828;-9.8156
Astrocaryum.vulgare;-61.7675;-10.6014
Astrocaryum.vulgare;-62.2031;-11.2739
Astrocaryum.vulgare;-62.2372;-10.7125
Astrocaryum.vulgare;-48.3678;-5.3039
Astrocaryum.vulgare;-47.5633;-5.7014
Astrocaryum.vulgare;-48.3386;-6.1533
Astrocaryum.vulgare;-48.5242;-6.4903
Astrocaryum.vulgare;-48.6522;-6.7958
Astrocaryum.vulgare;-49.0433;-7.0244
Astrocaryum.vulgare;-49.1289;-7.7072
Astrocaryum.vulgare;-43.2664;-2.4992
Astrocaryum.vulgare;-42.4008;-2.7556
Astrocaryum.vulgare;-42.0725;-2.7331
Astrocaryum.vulgare;-41.8242;-2.7661
Astrocaryum.vulgare;-50.5453;-18.965
Astrocaryum.vulgare;-50.2078;-13.6283
Astrocaryum.vulgare;-50.4936;-14.0547
Astrocaryum.vulgare;-49.3061;-14.2378
Astrocaryum.vulgare;-50.4494;-14.725
Astrocaryum.vulgare;-51.0219;-15.6742
Astrocaryum.vulgare;-52.0286;-16.2181
Astrocaryum.vulgare;-51.2256;-16.5056
Astrocaryum.vulgare;-49.1417;-13.1897
Astrocaryum.vulgare;-47.3811;-13.7078
Astrocaryum.vulgare;-47.4661;-7.2597
Astrocaryum.vulgare;-47.3331;-5.7728
Astrocaryum.vulgare;-42.5036;-3.4475
Astrocaryum.vulgare;-43.5431;-4.9031
Astrocaryum.vulgare;-45.4817;-7.2561
Astrocaryum.vulgare;-44.4286;-5.3361
Astrocaryum.vulgare;-45.2983;-5.5436
Astrocaryum.vulgare;-46.2739;-5.7392
Astrocaryum.vulgare;-43.7308;-5.8578
Astrocaryum.vulgare;-46.1928;-6.0786
Astrocaryum.vulgare;-57.2358;-14.4564
Astrocaryum.vulgare;-57.5744;-16.1444
Astrocaryum.vulgare;-50.9433;-12.3722
Astrocaryum.vulgare;-49.8281;-7.7028
Astrocaryum.vulgare;-49.5847;-8.1817
Astrocaryum.vulgare;-50.3375;-9.3544
Astrocaryum.vulgare;-42.2189;-4.7631
Astrocaryum.vulgare;-42.8253;-5.2419
Astrocaryum.vulgare;-43.0886;-6.7539
Astrocaryum.vulgare;-42.1694;-6.9397
Astrocaryum.vulgare;-41.4997;-3.4328
Astrocaryum.vulgare;-42.2186;-3.8664
Astrocaryum.vulgare;-41.6886;-4.1497
Astrocaryum.vulgare;-41.92;-4.4789
Astrocaryum.vulgare;-42.0625;-4.8767
Astrocaryum.vulgare;-42.3417;-5.3917
Astrocaryum.vulgare;-43.0539;-7.5622
Astrocaryum.vulgare;-41.625;-4.0958
